"","SR","WE","PD","PSV","PSC","PE","Size_FRic","Size_FEve","diethab_groups","diethab_FRic","diethab_FEve","deithab_FDiv","diethab_FDis"
"12748",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"12922",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"12923",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13096",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13097",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13271",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13272",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13273",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"13446",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13447",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"13621",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13622",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13795",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13796",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13970",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13971",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"13972",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"14146",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"14320",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"14495",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"14670",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"14843",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"14844",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"15018",7,0.172629597744805,217.838536224052,0.771801170364685,0.557995352175469,4.9110574075396,3,0.2,6,1.05529584818813,0.8,0.767172432268379,0.441282732741278
"15019",8,0.244058169173377,256.115523211038,0.823000899220406,0.572296083281781,7.64512790661,4,0.333333333333333,7,1.05529584818813,0.833333333333333,0.753559694305357,0.429124363923252
"15192",8,0.244058169173377,256.115523211038,0.823000899220406,0.572296083281781,7.64512790661,4,0.333333333333333,7,1.05529584818813,0.833333333333333,0.753559694305357,0.429124363923252
"15193",8,0.244058169173377,256.115523211038,0.823000899220406,0.572296083281781,7.64512790661,4,0.333333333333333,7,1.05529584818813,0.833333333333333,0.753559694305357,0.429124363923252
"15367",8,0.244058169173377,256.115523211038,0.823000899220406,0.572296083281781,7.64512790661,4,0.333333333333333,7,1.05529584818813,0.833333333333333,0.753559694305357,0.429124363923252
"15368",8,0.244058169173377,256.115523211038,0.823000899220406,0.572296083281781,7.64512790661,4,0.333333333333333,7,1.05529584818813,0.833333333333333,0.753559694305357,0.429124363923252
"15540",6,0.140371533228676,211.106972032107,0.829927675672686,0.671440491230241,4.69391017554137,3,0.25,5,0.619893824672559,0.75,0.803997317982416,0.395053158086124
"15541",8,0.244058169173377,256.115523211038,0.823000899220406,0.572296083281781,7.64512790661,4,0.333333333333333,7,1.05529584818813,0.833333333333333,0.753559694305357,0.429124363923252
"15542",7,0.211800104657247,249.383959019093,0.870719796933489,0.671577735486773,7.42798067461177,4,0.4,6,0.619893824672559,0.8,0.746045327339072,0.377472379541036
"15715",8,0.244058169173377,256.115523211038,0.823000899220406,0.572296083281781,7.64512790661,4,0.333333333333333,7,1.05529584818813,0.833333333333333,0.753559694305357,0.429124363923252
"15716",9,0.410724835840043,282.727865739724,0.847785861007906,0.529126553241946,12.0805183280576,4,0.285714285714286,8,1.11816170805005,0.857142857142857,0.743723774330317,0.456342050392184
"15889",9,0.410724835840043,282.727865739724,0.847785861007906,0.529126553241946,12.0805183280576,4,0.285714285714286,8,1.11816170805005,0.857142857142857,0.743723774330317,0.456342050392184
"15890",9,0.410724835840043,282.727865739724,0.847785861007906,0.529126553241946,12.0805183280576,4,0.285714285714286,8,1.11816170805005,0.857142857142857,0.743723774330317,0.456342050392184
"16056",2,0.043040293040293,70.1286983975,0.532034371804702,0.532034371804701,1.44076148709919,2,NA,2,NA,NA,NA,0.5
"16057",2,0.043040293040293,70.1286983975,0.532034371804702,0.532034371804701,1.44076148709919,2,NA,2,NA,NA,NA,0.5
"16064",9,0.410724835840043,282.727865739724,0.847785861007906,0.529126553241946,12.0805183280576,4,0.285714285714286,8,1.11816170805005,0.857142857142857,0.743723774330317,0.456342050392184
"16065",9,0.410724835840043,282.727865739724,0.847785861007906,0.529126553241946,12.0805183280576,4,0.285714285714286,8,1.11816170805005,0.857142857142857,0.743723774330317,0.456342050392184
"16229",3,0.11996336996337,88.6976314455694,0.489908801139475,0.447783230474248,2.8691409523353,3,0.999999999998461,2,NA,NA,NA,0.444444444444444
"16238",8,0.378466771323914,275.996301547779,0.885085830414216,0.610601807666335,11.8633710960594,4,0.333333333333333,7,0.671916260104667,0.833333333333333,0.673136884657037,0.407159487340691
"16918",2,0.16025641025641,47.3671498062346,0.0347846638511236,0.0347846638511237,2.06488207284551,2,NA,1,NA,NA,NA,1.75353094322527e-09
"16919",2,0.16025641025641,47.3671498062346,0.0347846638511236,0.0347846638511237,2.06488207284551,2,NA,1,NA,NA,NA,1.97272231112843e-09
"18133",6,0.399895342752486,165.028550627076,0.689801821966112,0.409618389726051,6.83008855014036,4,0.5,3,NA,0.25,0.784551247640312,0.34189163248458
"18134",6,0.399895342752486,165.028550627076,0.689801821966112,0.409618389726051,6.83008855014036,4,0.5,3,NA,0.25,0.784551247640312,0.34189163248458
"18135",6,0.399895342752486,165.028550627076,0.689801821966112,0.409618389726051,6.83008855014036,4,0.5,3,NA,0.25,0.784551247640312,0.34189163248458
"18306",6,0.399895342752486,165.028550627076,0.689801821966112,0.409618389726051,6.83008855014036,4,0.5,3,NA,0.25,0.784551247640312,0.34189163248458
"18307",6,0.399895342752486,165.028550627076,0.689801821966112,0.409618389726051,6.83008855014036,4,0.5,3,NA,0.25,0.784551247640312,0.34189163248458
"18308",7,0.649895342752486,168.714520528901,0.66478207897853,0.302429358296795,7.75158102559664,5,0.6,3,NA,0.2,0.794213647780024,0.338454994674012
"18309",7,0.649895342752486,168.714520528901,0.66478207897853,0.302429358296795,7.75158102559664,5,0.6,3,NA,0.2,0.794213647780024,0.338454994674012
"18482",6,0.399895342752486,165.028550627076,0.689801821966112,0.409618389726051,6.83008855014036,4,0.5,3,NA,0.25,0.784551247640312,0.34189163248458
"18483",7,0.649895342752486,168.714520528901,0.66478207897853,0.302429358296795,7.75158102559664,5,0.6,3,NA,0.2,0.724506962139448,0.334010455992567
"18484",7,0.649895342752486,168.714520528901,0.66478207897853,0.302429358296795,7.75158102559664,5,0.6,3,NA,0.2,0.794213647780024,0.338454994674012
